checkin_ID,business_id,weekday,hour,checkins
1,3Mc-LxcqeguOXOVT_2ZtCg,Tue,0:00,12
2,SVFx6_epO22bZTZnKwlX7g,Wed,0:00,4
3,vW9aLivd4-IorAfStzsHww,Tue,14:00,1
4,tEzxhauTQddACyqdJ0OPEQ,Fri,19:00,1
5,CEyZU32P-vtMhgqRCaXzMA,Tue,17:00,1
6,9dn5pee_n2dWQfN57xoJpg,Sun,3:00,5
7,6Zk5F7fsTr8n2CJTlaxHlw,Wed,1:00,4
8,OE_IDW5w_W97sBcZvq2Img,Sat,1:00,1
9,gy5pr5bFAjOL5rERSdMCLg,Sat,15:00,1
10,r2-eAhGANXlcgQy898tTaw,Mon,19:00,1
11,wiBxwslJAGDdZ2nmLOWDjg,Mon,16:00,1
12,08jURVR_eDvXq9scdIgcmg,Sat,23:00,1
13,BlWPjh2WuvQSlmYmgFsylg,Sun,0:00,1
14,6DO_2jivyxcL6SXGPXUJLQ,Wed,23:00,1
15,wrJROwvVKHvdMVIZO7HUrw,Thu,21:00,3
16,uU8up3hGwW9qnzQD1HZsMQ,Fri,0:00,1
17,JHPq9KvMuJaC7CPATSYeew,Sun,16:00,1
18,vyzfT3_KzLi8WmInwIVPeg,Thu,9:00,1
19,E4T0rQBJa0e4HIliBrI4lA,Thu,23:00,2
20,vuvnexwJzb1ydKLacBP8xg,Mon,18:00,1
21,BCORM4dEleJXnyPXoaH3HQ,Sun,22:00,2
22,CppOcUSapx5kU2lQNt2w5w,Tue,15:00,1
23,dEPGOBuRjV3p4mQ7fgPxxw,Thu,23:00,1
24,jCzrbfboRc3D-9_Gr0Wm9w,Tue,19:00,3
25,jkhEPQovg6JKPzUr43MC_g,Sun,19:00,2
26,5renm7L6gBnRkDHoPQVW3w,Mon,13:00,2
27,tku3pYiZrQLCT12MXr-OHA,Mon,18:00,2
28,uo-40ZDaRJBoh-PY4dbCgQ,Thu,18:00,1
29,LtbF0qDeCpQ95sMW_IEn0g,Fri,22:00,1
30,Gyrez6K8f1AyR7dzW9fvAw,Sun,19:00,8
31,XDYCIRENiT2doRZgwNJ3SA,Wed,9:00,2
32,Hkk_z1WMQajSnkG3Gaj3PQ,Mon,23:00,2
33,uhroo5AV1dcCHpI6ZQIj8w,Sat,23:00,1
34,IEZRcxLrnMkc7W3q1i7d9g,Mon,19:00,1
35,z0rSmZQz9eEXjg_C3_E5-g,Sun,14:00,1
36,opA6UyGSAghUZ1LjsPg4PQ,Thu,19:00,1
37,UxWH8zRYIBgs6Q2oykvRdw,Mon,23:00,14
38,tku3pYiZrQLCT12MXr-OHA,Wed,14:00,1
